bartime,direction,legHigh,legLow,legRange,fib050,fib0618,zoneUpper,zoneLower,invalidLevel
2025.09.30 12:45,BEAR,3871.62,3793.14,78.48000000000002,3832.38,3841.64064,3841.64064,3832.38,3854.82528
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
2025.09.30 09:00,BULL,3871.62,3825.56,46.059999999999945,3848.59,3843.15492,3848.59,3843.15492,3835.41684
